ID,Advertising,Adsplay,Year,Days,Price,Parking,Rating,Cuisine,Table.Turns
1,10.256,43,2011,5,63,0,10,0,330
2,985.685,28,2002,5,54,0,7,1,120
3,1445.563,35,2006,6,52,0,7,1,360
4,1188.193,33,2009,3,63,0,7,1,270
5,574.513,44,2008,6,55,0,5,1,220
6,568.954,19,2008,6,52,0,5,1,170
7,471.814,20,2011,3,61,0,1,1,70
8,537.352,22,2002,5,61,0,9,0,210
9,514.068,21,2006,6,64,0,7,0,200
10,174.093,40,2009,5,56,1,7,1,300
11,1720.806,32,2004,5,63,1,7,1,290
12,611.479,20,2017,5,53,1,2,1,70
13,251.192,24,2008,5,63,0,8,1,150
14,97.972,38,2000,5,48,0,6,0,190
15,406.814,24,1995,4,64,0,7,0,240
16,265.398,25,2010,5,68,0,5,1,100
17,1323.287,35,2000,5,51,0,5,1,250
18,196.65,36,1998,5,64,0,8,1,210
19,1326.598,27,1993,2,64,0,8,1,280
20,1380.689,33,1999,5,65,0,8,1,230
21,792.345,33,2010,3,62,1,7,1,210
22,957.167,28,2001,3,62,0,6,1,230
23,1789.659,30,2018,6,63,0,9,1,320
24,656.137,34,1998,5,64,0,7,0,210
25,613.697,49,1989,5,63,0,7,1,230
26,313.362,40,2001,7,51,0,8,1,250
27,336.51,20,2009,6,65,0,4,1,60
28,1544.899,42,2002,5,66,0,7,1,330
29,68.954,35,1997,5,64,0,8,0,150
30,785.692,8,1997,3,66,0,6,1,150
31,125.628,49,1998,5,54,0,7,1,180
32,377.925,19,1995,5,66,0,8,1,80
33,217.994,42,1999,5,66,0,6,1,180
34,759.862,6,1988,2,53,0,7,1,130
35,1163.444,36,2018,2,57,1,6,1,320
36,842.957,32,2019,6,63,0,7,0,280
37,125.179,28,2015,7,65,0,6,1,200
38,236.598,25,2015,5,62,0,8,1,130
39,669.811,34,2016,5,64,0,8,0,190
40,612.234,21,2014,7,65,0,6,0,150
41,922.019,34,1990,5,72,0,7,0,230
42,50,63,2012,3,66,0,7,1,310
43,2000,31,2016,5,66,0,7,1,340
44,1054.027,25,2013,5,64,0,7,0,240
45,385.045,42,2015,4,48,0,7,1,180
46,1507.972,37,2016,5,70,0,7,0,220
47,102.568,25,2015,5,50,0,8,1,40
48,204.568,26,2014,5,63,0,7,1,190
49,1170.918,39,2014,5,65,0,7,1,290
50,689.547,46,2010,5,62,0,7,1,340
51,784.22,36,2011,5,65,0,6,1,250
52,405.913,12,2009,5,64,0,4,1,190
53,179.778,2,2008,5,54,0,8,0,120
54,607.258,29,2006,5,70,0,8,0,230
55,1542.329,33,2005,5,52,0,8,1,190
56,1112.47,28,2017,6,61,0,7,0,210
57,856.985,10,2008,5,56,1,6,1,170
58,836.331,38,2006,5,64,0,7,0,310
59,236.908,19,2018,4,52,0,4,1,90
60,1077.855,13,2015,5,65,0,6,1,140
61,579.321,30,2015,5,62,0,7,1,300
62,1500,38,2014,5,65,0,8,0,340
63,731.364,22,2014,5,49,0,8,1,170
64,25.689,23,2012,5,61,0,6,1,100
65,391.749,22,1990,5,63,0,9,1,200
66,233.999,20,2002,5,51,0,7,0,80
67,275.7,18,1989,5,49,0,6,0,100
68,56.895,37,1994,5,65,0,7,1,70
69,255.117,16,2013,5,56,1,8,1,50
70,566.501,32,1995,5,65,0,8,1,240
71,102.568,26,1991,5,62,0,5,0,160
72,250.568,53,1998,4,63,0,9,0,290
73,68.594,28,2005,5,65,0,7,1,140
74,642.786,32,2019,6,53,0,7,1,210
75,1500,24,2001,5,62,0,7,0,300
76,102.563,37,2003,7,64,0,6,1,230
77,756.984,30,1997,4,66,0,8,0,280
