"","ID","Advertising","Adsplay","Year","Days","Price","Parking","Rating","Cuisine","Table.Turns"
"1",33,217.994,42,1999,5,66,0,6,1,180
"2",55,1542.329,33,2005,5,52,0,8,1,190
"3",179,450.562,46,2018,3,64,0,9,0,290
"4",54,607.258,29,2006,5,70,0,8,0,230
"5",73,68.594,28,2005,5,65,0,7,1,140
"6",56,1112.47,28,2017,6,61,0,7,0,210
"7",117,526.142,14,1998,3,65,0,7,1,120
"8",124,678.596,53,2003,5,66,0,7,0,360
"9",25,613.697,49,1989,5,63,0,7,1,230
"10",173,1051.168,20,2001,3,63,0,7,0,200
"11",30,785.692,8,1997,3,66,0,6,1,150
"12",138,30.425,28,1989,3,64,0,1,1,60
"13",40,612.234,21,2014,7,65,0,6,0,150
"14",159,507.638,0,2015,3,64,1,6,1,120
"15",177,804.282,17,2003,3,65,0,8,1,260
"16",53,179.778,2,2008,5,54,0,8,0,120
"17",75,1500,24,2001,5,62,0,7,0,300
"18",95,900.889,38,1988,5,65,0,8,1,290
"19",196,910.851,26,2015,3,70,1,7,1,190
"20",9,514.068,21,2006,6,64,0,7,0,200
"21",153,45.689,24,2005,7,52,0,7,0,160
"22",176,393.774,27,2017,3,51,0,6,1,100
"23",49,1170.918,39,2014,5,65,0,7,1,290
"24",186,601.434,21,2005,4,63,0,6,0,180
"25",70,566.501,32,1995,5,65,0,8,1,240
"26",103,202.705,13,1989,7,51,0,8,0,60
"27",128,1423.568,26,2005,6,64,0,7,0,290
"28",96,982.063,26,2015,5,61,0,6,1,180
"29",194,503.172,21,2001,3,64,0,7,1,150
"30",190,56.894,27,2000,3,65,0,7,1,140
"31",48,204.568,26,2014,5,63,0,7,1,190
"32",61,579.321,30,2015,5,62,0,7,1,300
"33",94,268.598,1,1990,5,67,0,7,0,140
"34",29,68.954,35,1997,5,64,0,8,0,150
"35",163,883.877,26,2011,3,63,0,7,1,280
"36",21,792.345,33,2010,3,62,1,7,1,210
"37",101,75.896,34,1998,6,62,0,6,1,120
"38",183,295.84,55,2000,3,66,0,9,1,250
"39",162,26.895,19,2017,5,53,0,6,1,60
"40",157,1002.273,32,2004,4,61,0,7,1,230
"41",145,234.568,21,1994,5,48,0,7,1,90
"42",39,669.811,34,2016,5,64,0,8,0,190
"43",59,236.908,19,2018,4,52,0,4,1,90
"44",1,10.256,43,2011,5,63,0,10,0,330
"45",200,785.694,20,2007,3,62,1,9,1,110
"46",187,45.298,36,2016,3,65,0,6,0,180
"47",85,724.938,8,2015,7,67,0,5,1,70
"48",137,100.025,21,2010,7,63,1,5,1,140
"49",199,1500,11,2010,3,65,0,8,0,230
"50",23,1789.659,30,2018,6,63,0,9,1,320
"51",34,759.862,6,1988,2,53,0,7,1,130
"52",155,20.456,13,2012,3,55,0,8,1,40
"53",89,135.986,22,2010,5,64,0,7,0,120
"54",108,152.609,11,1998,7,61,0,6,1,160
"55",45,385.045,42,2015,4,48,0,7,1,180
"56",118,624.538,20,2018,4,62,0,5,0,150
"57",184,2271.86,31,2017,4,53,0,5,0,320
"58",72,250.568,53,1998,4,63,0,9,0,290
"59",171,500.922,36,2004,4,62,0,8,0,260
"60",116,102.642,5,2000,5,66,1,9,1,90
"61",149,826.859,36,2014,2,60,0,6,0,180
"62",126,1567.548,29,2007,5,51,0,6,0,240
"63",63,731.364,22,2014,5,49,0,8,1,170
"64",66,233.999,20,2002,5,51,0,7,0,80
"65",104,365.985,23,1992,5,51,0,6,1,140
"66",161,526.48,26,2006,3,63,0,6,0,120
"67",185,1134.575,39,2013,4,57,0,8,0,300
"68",26,313.362,40,2001,7,51,0,8,1,250
"69",65,391.749,22,1990,5,63,0,9,1,200
"70",58,836.331,38,2006,5,64,0,7,0,310
"71",133,583.627,30,1992,5,51,0,7,0,260
"72",90,237.703,27,2009,5,51,0,8,1,150
"73",84,45.689,39,2014,5,62,0,6,1,190
"74",110,102.568,22,1990,6,65,1,7,0,140
"75",4,1188.193,33,2009,3,63,0,7,1,270
"76",38,236.598,25,2015,5,62,0,8,1,130
"77",109,35.987,30,1997,5,64,0,8,0,150
"78",88,1837.516,40,2010,5,64,0,5,1,300
"79",44,1054.027,25,2013,5,64,0,7,0,240
"80",97,201.356,11,2012,5,70,1,6,0,140
"81",91,976.641,31,2013,5,64,0,6,1,220
"82",28,1544.899,42,2002,5,66,0,7,1,330
"83",7,471.814,20,2011,3,61,0,1,1,70
"84",156,635.192,17,2010,3,52,0,6,1,60
"85",106,263.268,18,2000,5,52,0,7,0,160
"86",113,507.772,9,1988,4,48,0,3,1,30
"87",2,985.685,28,2002,5,54,0,7,1,120
"88",192,56.895,33,2017,3,66,0,6,1,120
"89",178,801.577,32,2015,4,66,1,8,0,210
"90",129,715.678,28,2003,5,56,0,7,1,220
"91",165,103.568,29,2016,4,64,0,8,0,230
"92",92,1452.689,19,1999,5,50,0,7,0,280
"93",46,1507.972,37,2016,5,70,0,7,0,220
"94",32,377.925,19,1995,5,66,0,8,1,80
"95",139,1080.342,18,2016,7,64,1,7,1,210
"96",47,102.568,25,2015,5,50,0,8,1,40
"97",119,912.349,57,1999,5,68,0,6,0,230
"98",6,568.954,19,2008,6,52,0,5,1,170
"99",74,642.786,32,2019,6,53,0,7,1,210
"100",130,777.237,37,2010,5,62,0,8,0,230
"101",170,985.968,17,2018,5,65,0,6,1,210
"102",60,1077.855,13,2015,5,65,0,6,1,140
"103",86,1126.461,38,2015,5,52,0,7,0,360
"104",87,1985.119,35,2015,5,55,1,5,1,360
"105",12,611.479,20,2017,5,53,1,2,1,70
"106",175,1547.159,28,2014,4,63,0,8,1,250
"107",193,767.134,33,2013,5,66,0,8,1,230
"108",107,513.694,2,1993,5,53,0,7,0,100
"109",125,70.922,4,2009,5,55,0,6,0,10
"110",14,97.972,38,2000,5,48,0,6,0,190
"111",132,964.11,34,1993,5,54,0,7,0,240
"112",142,893.355,26,2004,7,52,0,6,0,210
"113",20,1380.689,33,1999,5,65,0,8,1,230
"114",182,345.687,22,2016,5,66,0,8,1,110
"115",79,644.151,47,2002,5,63,0,6,1,200
"116",181,179.061,19,2004,3,54,0,1,1,70
"117",13,251.192,24,2008,5,63,0,8,1,150
"118",64,25.689,23,2012,5,61,0,6,1,100
"119",52,405.913,12,2009,5,64,0,4,1,190
"120",167,429.504,17,2008,5,51,0,6,1,40
"121",146,456.897,18,1999,4,65,0,9,0,120
"122",82,256.894,1,2015,5,70,0,4,0,70
"123",144,917.017,10,2010,3,67,0,7,1,140
"124",188,759.518,21,2011,5,62,0,7,0,200
"125",134,923.373,15,1990,4,56,0,7,0,170
"126",83,22.464,1,2014,7,64,0,6,0,100
"127",111,215.368,36,2006,5,54,0,6,1,230
"128",37,125.179,28,2015,7,65,0,6,1,200
"129",136,1095.578,31,2013,5,63,0,8,1,270
"130",172,226.652,45,2005,4,62,0,7,1,250
"131",36,842.957,32,2019,6,63,0,7,0,280
"132",71,102.568,26,1991,5,62,0,5,0,160
"133",41,922.019,34,1990,5,72,0,7,0,230
"134",27,336.51,20,2009,6,65,0,4,1,60
"135",197,888.569,14,2006,3,50,0,6,1,240
